,avg_iou,median_iou,success_50,success_75,fps,frames,energy_j,energy_wh,time_s
uav_car16_1,0.8951119836644514,0.9016600921326241,100.0,98.79227053140096,18.276536722717676,414,621.0,0.1725,22.651993989944458
uav_car16_2,0.8917798585394937,0.8989009444137543,100.0,98.73257287705957,18.54066934958617,1578,2367.0,0.6575,85.11019587516785
uav_car17,0.9306425359842431,0.945510385756718,99.90530303030303,98.57954545454545,18.527098177120127,1056,1584.0,0.44,56.99759292602539
uav_car18,0.9146000332195484,0.9205620487273263,100.0,100.0,18.51451044146842,1206,1809.0,0.5025,65.13809823989868
uav_car1_s,0.6166993149056165,0.7572602429840039,76.39077340569878,51.356852103120765,17.323023428897326,1474,2211.0,0.6141666666666666,85.08907270431519
uav_car2,0.8285829462228549,0.8360934632253828,99.16666666666667,89.84848484848484,18.588152507085923,1320,1980.0,0.55,71.01297450065613
uav_car2_s,0.7143774323782818,0.8371492705192627,84.32601880877742,75.23510971786834,17.854822962640696,319,478.5,0.13291666666666666,17.866321086883545
uav_car3,0.8253138553539995,0.8342965658417019,100.0,88.57808857808858,18.490712102237104,1716,2574.0,0.715,92.80334854125977
uav_car3_s,0.691557546705485,0.7889336292354092,87.37490377213241,57.505773672055426,16.819423560071325,1299,1948.5,0.54125,77.2321355342865
uav_car4,0.8512897375167011,0.8590216384038397,99.62797619047619,95.98214285714286,18.47227596960323,1344,2016.0,0.56,72.75768303871155
uav_car4_s,0.724643612619549,0.8446857167944148,84.55971049457177,75.99517490952955,17.46224806940773,829,1243.5,0.34541666666666665,47.47384166717529
uav_car5,0.9410306282915104,0.9400529972305544,100.0,100.0,18.253611686327762,744,1116.0,0.31,40.75905704498291
uav_car6_1,0.9556945349830793,0.9573000380841441,100.0,100.0,18.102326245905793,486,729.0,0.2025,26.847378253936768
uav_car6_2,0.9387896117277181,0.9485533239141408,100.0,100.0,19.297372972273273,1320,1980.0,0.55,68.40309309959412
uav_car6_3,0.864168923180856,0.8838548786700229,100.0,94.85165794066319,18.183764384756003,1146,1719.0,0.4775,63.02325391769409
uav_car6_4,0.9263354995425642,0.9283227048111311,100.0,100.0,18.301313378005954,972,1458.0,0.405,53.110942363739014
uav_car6_5,0.9433238344996171,0.9493147500339765,100.0,99.03846153846155,18.258175299643618,936,1404.0,0.39,51.2647066116333
uav_car7,0.7020391327765165,0.8611385165480661,80.23255813953489,74.90310077519379,18.462221289782004,1032,1548.0,0.43,55.89793252944946
