,avg_iou,median_iou,success_50,success_75,fps,frames,battery_start,battery_end,energy_consumed_j,energy_consumed_wh,ostrack_only_energy_j,energy_saved_j,energy_saved_percent,ostrack_frames,siamapn_frames,skip_frames,mode_switches,time_s
uav_boat5,0.9204922469268885,0.9209280700184985,100.0,100.0,25.334653527903914,504,78.208211408383,69.66872620548773,461.1322009563446,0.12809227804342907,756.0,294.8677990436554,39.00367712217664,339,165,0,1,19.893700122833252
uav_boat6,0.8427994298002687,0.8454375822182703,100.0,94.40298507462687,19.938333417527673,804,92.04232346367979,72.40746313352199,1060.2824578285217,0.29452290495236716,1206.0,145.71754217147827,12.082714939591895,804,0,0,0,40.32433319091797
uav_boat7,0.8171975038448765,0.8274783906678871,100.0,84.26966292134831,66.25129140361229,534,61.668718912750045,60.69405377429349,52.63191747665405,0.014619977076848348,801.0,748.368082523346,93.42922378568613,0,534,0,1,8.06022024154663
uav_boat8,0.7053142566653029,0.6889733991241282,96.19883040935673,37.42690058479532,20.038745684785074,684,90.77831487751246,74.18607038487568,895.9812026023865,0.2488836673895518,1026.0,130.01879739761353,12.672397407174806,684,0,0,0,34.133872985839844
uav_boat9,0.7440677645389345,0.787868712171126,92.77539341917024,59.94277539341917,65.63854114639436,1398,60.12684467021177,57.868061568176245,121.97428750991821,0.03388174653053284,2097.0,1975.0257124900818,94.1833911535566,0,1398,0,1,21.298462390899658
uav_building1,0.8653105441987866,0.8701968577054038,100.0,99.35897435897436,48.945716161394316,468,71.71237568197907,69.31990989628142,129.19315242767334,0.035886986785464814,702.0,572.8068475723267,81.59641703309497,73,395,0,1,9.561613082885742
uav_building2,0.8386585612095835,0.8564912156479226,98.95833333333334,89.40972222222221,19.979814947638232,576,84.43657330667516,70.67005823713747,743.3918137550354,0.20649772604306538,864.0,120.6081862449646,13.959280815389421,576,0,0,0,28.8290958404541
uav_building3,0.786240501475244,0.7906391409425755,100.0,75.0,19.74689833247297,828,96.52109565682585,76.5743959977962,1077.1217815876007,0.29920049488544465,1242.0,164.8782184123993,13.275218873784162,828,0,0,0,41.93063569068909
uav_building4,0.6335246829729456,0.612608111718189,100.0,10.178117048346055,48.34193031252847,786,72.00460018978546,68.6227564330391,182.6195628643036,0.050727656351195444,1179.0,996.3804371356964,84.51063928207773,85,701,0,1,16.2591769695282
uav_building5,0.79676445097988,0.8008380969908488,100.0,79.16666666666666,69.82859950100477,480,69.9439454668284,69.11808523140223,44.596452713012695,0.012387903531392415,720.0,675.4035472869873,93.8060482343038,0,480,0,1,6.873974323272705
uav_car1_1,0.920718162520634,0.9232156921085957,100.0,100.0,20.868419157782593,750,86.65568419613315,69.8400173616198,908.0460090637207,0.2522350025177002,1125.0,216.9539909362793,19.28479919433594,686,64,0,1,35.9394736289978
uav_car1_2,0.8802754081089889,0.9094531604715097,97.14611872146118,96.68949771689498,19.878780163950296,876,99.50131643439266,78.41538082849581,1138.6405227184296,0.31628903408845266,1314.0,175.35947728157043,13.345470112752697,876,0,0,0,44.06709027290344
uav_car1_3,0.49646996736419585,0.8231663155959009,54.99001996007984,54.29141716566866,33.59634817197437,1002,78.73081624297713,68.5983630530213,547.1524722576141,0.15198679784933725,1503.0,955.8475277423859,63.595976563033,360,642,0,1,29.82467007637024
uav_car10,0.8521847648894648,0.8515055642372982,100.0,97.43589743589743,65.17076131261031,1404,64.93149518105417,62.62595356857034,124.4992470741272,0.034583124187257556,2106.0,1981.5007529258728,94.08835483978504,0,1404,0,1,21.543403387069702
uav_car11,0.20440601897058924,0.0,27.67857142857143,8.035714285714286,19.197497536026756,336,96.64125546929756,88.37863333805586,446.1815950870514,0.12393933196862539,504.0,57.81840491294861,11.471905736696153,336,0,0,0,17.502281188964844
uav_car12,0.508856130501614,0.7766083617034805,58.835341365461844,52.610441767068274,19.683135096653256,498,97.84574133933701,85.8243506628386,649.1550965309143,0.1803208601474762,747.0,97.8449034690857,13.098380651818701,498,0,0,0,25.30084753036499
uav_car13,0.09414735432496547,0.0,10.628019323671497,5.555555555555555,52.81699695403167,414,71.1078949321683,69.37248313365582,93.71223711967468,0.026031176977687413,621.0,527.2877628803253,84.90946262163048,47,367,0,1,7.838385820388794
uav_car14,0.4665143167116666,0.6962143663461584,61.463046757164406,31.825037707390646,36.9999413165783,1326,80.78614755031842,68.51853513719462,662.4510703086853,0.18401418619685703,1989.0,1326.5489296913147,66.69426494174533,444,882,0,1,35.837894678115845
uav_car15,0.049309758535400865,0.0,6.196581196581197,0.0,62.493768624594395,468,66.18979994865767,65.36248505966819,44.67500400543213,0.012409723334842257,702.0,657.3249959945679,93.63603931546551,0,468,0,1,7.488746643066406
uav_car16_1,0.728347674462831,0.8628388823770845,80.19323671497585,75.60386473429952,65.83940645256888,414,60.58509411296882,59.82505724709866,41.041990756988525,0.011400552988052369,621.0,579.9580092430115,93.3909837750421,0,414,0,1,6.28802752494812
uav_car16_2,0.8892696963545912,0.8927051300098429,100.0,99.93662864385297,57.936121726669846,1578,72.96972825637964,67.59349455944208,290.3166196346283,0.08064350545406342,2367.0,2076.6833803653717,87.73482806782306,125,1453,0,1,27.236893892288208
uav_car17,0.9306425359842431,0.945510385756718,99.90530303030303,98.57954545454545,20.06069137849469,1056,99.63593754983148,73.94872676481342,1387.109382390976,0.3853081617752711,1584.0,196.89061760902405,12.429963232892932,1056,0,0,0,52.64025950431824
uav_car18,0.8701671931318328,0.8709284318641977,100.0,98.2587064676617,36.6764616001338,1206,80.5256515122397,68.68578216756373,639.352944612503,0.17759804017013975,1809.0,1169.647055387497,64.65710643380304,429,777,0,1,32.88212513923645
uav_car1_s,0.517745719167417,0.6369431844368687,64.1112618724559,35.27815468113975,24.106136052533625,1474,95.05982565008665,69.18423850901434,1397.2817056179047,0.38813380711608464,2211.0,813.7182943820953,36.80317930267279,1007,467,0,1,61.146257400512695
uav_car2,0.3457982043314852,0.0,42.348484848484844,36.515151515151516,61.652180461759414,1320,62.69582986636878,60.24028870158205,132.59922289848328,0.03683311747180091,1980.0,1847.4007771015167,93.30306955058165,0,1320,0,1,21.41043496131897
uav_car2_s,0.29301292894073877,0.0,33.5423197492163,24.45141065830721,42.310330809016705,319,71.3661494862519,69.4438331602165,103.80508160591125,0.028834744890530905,478.5,374.69491839408875,78.30614804474165,59,260,0,1,7.539529800415039
uav_car3,0.8220372628320239,0.8335889160265151,100.0,86.48018648018649,44.057284377781194,1716,78.75597071705984,67.81571880593182,590.7736032009125,0.16410377866692014,2574.0,1983.2263967990875,77.04842256406711,365,1351,0,1,38.94929122924805
uav_car3_s,0.7059518255445252,0.768384858799965,90.83910700538877,53.34872979214781,25.10242906182981,1299,90.4709276182747,69.22953772555529,1147.0350542068481,0.31862084839079113,1948.5,801.4649457931519,41.13240676382611,852,447,0,1,51.74798011779785
uav_car4,0.8598319904977568,0.865932468097079,99.62797619047619,95.98214285714286,22.568233520210356,1344,96.90447106915275,69.59102655187584,1474.9260039329529,0.40970166775915356,2016.0,541.0739960670471,26.838987900151146,1116,228,0,1,59.55273365974426
uav_car4_s,0.6349405199575463,0.8095290611530173,75.63329312424608,68.27503015681545,36.77590783421797,829,75.7209502824854,68.91932057140492,367.28800439834595,0.1020244456662072,1243.5,876.211995601654,70.46336916780491,239,590,0,1,22.541931629180908
uav_car5,0.9410306282915104,0.9400529972305544,100.0,100.0,19.632178109989457,744,97.16350708762612,78.94141028682198,983.9932272434235,0.27333145201206205,1116.0,132.00677275657654,11.82856386707675,744,0,0,0,37.89696669578552
uav_car6_1,0.949467926894259,0.9496762092173519,100.0,100.0,21.823563327918674,486,79.98448041733087,69.78712287755347,550.6573071479797,0.15296036309666103,729.0,178.34269285202026,24.464018223871093,413,73,0,1,22.26950716972351
uav_car6_2,0.9133943092555499,0.9451642863297212,100.0,95.0,24.483432021230385,1320,92.0819876120645,69.13292074794487,1239.2496106624603,0.3442360029617945,1980.0,740.7503893375397,37.411635825128265,891,429,0,1,53.9140100479126
uav_car6_3,0.8669917460399773,0.8838548786700229,100.0,95.89877835951134,20.752916993873722,1146,95.86320455614754,69.82946561629711,1405.8219027519226,0.3905060840977563,1719.0,313.1780972480774,18.218621131359942,1067,79,0,1,55.221152782440186
uav_car6_4,0.8602651089676545,0.8705301041952074,100.0,93.51851851851852,34.01366235321387,972,79.28516300938132,68.9692742424921,557.0579934120178,0.1547383315033383,1458.0,900.9420065879822,61.79300456707697,388,584,0,1,28.576752185821533
